ResNet50,VGGNet16,InceptionV3,ConvNeXt,EfficientNet,ResNet50_prob,VGGNet16_prob,InceptionV3_prob,ConvNeXt_prob,EfficientNet_prob,label
Pembroke,sunglasses,stopwatch,fountain,sunglass,0.41561753,0.42221278,0.99936837,0.27203736,0.07401339,cow
hen,cock,clog,hen,hen,0.5398454,0.5194624,0.99939394,0.7929004,0.07392945,hen
car_mirror,mountain_tent,clog,bullet_train,bullet_train,0.55630046,0.3163486,0.91653734,0.54976016,0.72447175,train
hamper,Persian_cat,flatworm,tabby,tiger_cat,0.3616216,0.572489,0.9999889,0.23659141,0.46088853,cat
candle,candle,stole,bakery,stove,0.6744064,0.38712204,0.99627614,0.25372165,0.10477709,cake
toyshop,toyshop,clog,toyshop,teddy,0.99368423,0.93309903,0.9999989,0.8793247,0.4359823,toy
tiger,fountain,flatworm,tiger,tiger_cat,0.5448647,0.13387209,0.9999994,0.85821325,0.27814662,tiger
school_bus,school_bus,flatworm,school_bus,church,0.9273219,0.9992399,0.9999975,0.8030589,0.6982585,school_bus
water_bottle,water_bottle,stopwatch,water_bottle,water_bottle,0.59653836,0.26066345,0.9985195,0.91486984,0.8406696,water_bottle
yawl,yawl,stopwatch,yawl,catamaran,0.7840371,0.34552598,0.9967843,0.77020305,0.2344706,boat
indigo_bunting,hummingbird,flatworm,indigo_bunting,jay,0.37666985,0.25452876,0.99821943,0.4781175,0.56312877,bird
pinwheel,umbrella,clog,umbrella,matchstick,0.9226753,0.7096159,1.0,0.34280324,0.70447534,pencil
comic_book,mask,flatworm,comic_book,comic_book,0.6911051,0.45315897,0.8420374,0.25946134,0.14329687,monkey
shopping_basket,shopping_basket,flatworm,shopping_basket,shopping_basket,0.9543658,0.47739467,0.83421165,0.6977798,0.6070933,plastic_basket
boathouse,volcano,web_site,mashed_potato,web_site,0.5870327,0.28246665,1.0,0.62775177,0.030386461,lake
bee,daisy,flatworm,daisy,matchstick,0.3811552,0.3241558,0.76654124,0.25772262,0.052193206,flower
golden_retriever,golden_retriever,flatworm,golden_retriever,golden_retriever,0.97924495,0.84636927,0.9997991,0.8799979,0.5961258,dog
restaurant,restaurant,flatworm,dining_table,window_screen,0.7806092,0.8331283,0.9968098,0.6387252,0.1026649,dining_table
Granny_Smith,lipstick,web_site,Granny_Smith,strainer,0.48318785,0.21608412,1.0,0.87527907,0.6327593,apple
maraca,candle,flatworm,wig,pill_bottle,0.442965,0.801257,0.99996054,0.48872933,0.21910615,baby
