ResNet50,VGGNet16,InceptionV3,ConvNeXt,EfficientNet,ResNet50_prob,VGGNet16_prob,InceptionV3_prob,ConvNeXt_prob,EfficientNet_prob,label
muzzle,miniature_pinscher,hammer,hen,chainlink_fence,0.3878315,0.08081827,0.99297863,0.07476012,0.11729001,cow
ballpoint,pencil_box,pitcher,tennis_ball,saltshaker,0.21914423,0.2477882,0.58344233,0.38547233,0.07368472,toy
pot,sulphur_butterfly,flatworm,hummingbird,reel,0.256225,0.18783566,0.6741588,0.3888667,0.10678629,flower
Persian_cat,Persian_cat,web_site,Persian_cat,Arctic_fox,0.8328918,0.66890377,1.0,0.59154844,0.43703032,dog
African_grey,quail,web_site,African_grey,window_screen,0.94501597,0.4819076,0.9906729,0.85805225,0.5037069,bird
plate,plate,pitcher,wok,strainer,0.67530185,0.65339124,0.99392855,0.3796683,0.77589095,cake
passenger_car,bullet_train,sock,bullet_train,cab,0.90250206,0.9173202,0.81538737,0.45826787,0.2625382,train
canoe,canoe,hammer,canoe,canoe,0.3432207,0.4159075,0.99999905,0.2534945,0.69345,boat
chimpanzee,chimpanzee,ashcan,chimpanzee,chimpanzee,0.99999964,0.9903126,1.0,0.863563,0.80125403,monkey
diaper,diaper,web_site,diaper,diaper,0.92203164,0.81497616,0.9955249,0.40672663,0.60209274,baby
tiger,tiger,pitcher,tiger,tiger_cat,0.86475635,0.84903365,0.9999975,0.7405015,0.5470659,tiger
Granny_Smith,pomegranate,web_site,Granny_Smith,Granny_Smith,0.29145214,0.5377776,0.9841814,0.92453253,0.24539247,apple
rubber_eraser,rubber_eraser,clog,rubber_eraser,rubber_eraser,0.85895944,0.6875064,0.9994199,0.8447058,0.23501019,pencil
canoe,lakeside,web_site,lakeside,alp,0.6804078,0.4947493,0.9955877,0.4838826,0.12623677,lake
dining_table,dining_table,stopwatch,dining_table,window_screen,0.92214185,0.73553246,0.9999585,0.9642549,0.22803657,dining_table
school_bus,passenger_car,binoculars,passenger_car,limousine,0.9107605,0.3958574,0.47202057,0.78599834,0.07698787,school_bus
shopping_basket,shopping_basket,pitcher,shopping_basket,shopping_basket,0.999997,0.9999981,0.5271109,0.90707844,0.7847785,plastic_basket
hen,hen,flatworm,hen,window_screen,0.91908205,0.8252454,1.0,0.91907793,0.09330011,hen
water_bottle,water_bottle,flatworm,cocktail_shaker,water_bottle,0.99084634,0.9098153,0.9999862,0.6170162,0.7646816,water_bottle
tabby,tabby,web_site,Egyptian_cat,tabby,0.5086882,0.41537073,1.0,0.224414,0.533094,cat
